Repositorio;Nome;Estrelas;Anos;nº Releases;média CBO;desvio padão CBO;média LCOM;desvio padão LCOM;DIT máximo;LOC Total
Netflix/eureka;eureka;12180;11.66;148;5.881401617250674;6.426189187180171;18.57277628032345;134.42556016816178;9.0;32877.0
DuGuQiuBai/Java;Java;12128;8.33;0;0.7722132471728594;1.3116121539576122;1.0791599353796446;5.190260725872115;6.0;10840.0
codecentric/spring-boot-admin;spring-boot-admin;12117;9.67;118;7.681034482758621;6.18340261469061;7.148706896551724;29.013252739649516;5.0;13795.0
pagehelper/Mybatis-PageHelper;Mybatis-PageHelper;12029;9.79;14;5.815642458100559;4.907477023124915;29.966480446927374;190.89998257127547;5.0;7332.0
zaproxy/zaproxy;zaproxy;11873;8.81;9;4.727018385291767;6.022757054773922;69.29696243005596;344.9787910144129;32.0;181358.0
apache/zookeeper;zookeeper;11871;14.99;0;5.627473806752037;7.107260025743263;37.35506402793946;397.0771892033686;96.0;119982.0
apache/dolphinscheduler;dolphinscheduler;11848;5.06;51;6.538191738113796;7.00833923735207;15.504676539360872;98.47546676265996;7.0;105767.0
chat2db/Chat2DB;Chat2DB;11840;0.75;34;5.92018244013683;6.903506022718614;10.454960091220068;58.913726913522055;5.0;24247.0
Tencent/VasSonic;VasSonic;11775;6.64;10;4.198198198198198;4.878376298735967;21.61261261261261;95.60892294774747;4.0;7421.0
pxb1988/dex2jar;dex2jar;11754;9.02;8;5.42907180385289;6.844517589273219;21.13309982486865;136.39425883484105;12.0;41716.0
supertokens/supertokens-core;supertokens-core;11742;4.21;66;10.406052963430012;9.90721462223189;54.564943253467845;705.1565653965397;17.0;84822.0
Yalantis/uCrop;uCrop;11740;8.21;16;6.298701298701299;8.485380758991505;28.90909090909091;81.01389680664009;7.0;4669.0
redis/jedis;jedis;11557;13.79;99;4.92707182320442;9.085425566484114;517.8563535911602;13668.63842173856;7.0;74272.0
itwanger/toBeBetterJavaer;toBeBetterJavaer;11552;5.37;0;;;;;;
languagetool-org/languagetool;languagetool;11454;10.62;0;5.470632248410026;6.552899782528183;51.41114852225963;357.0510139215083;28.0;221314.0
realm/realm-java;realm-java;11433;11.93;0;;;;;;
frank-lam/fullstack-tutorial;fullstack-tutorial;11432;5.95;0;;;;;;
Tencent/matrix;matrix;11341;5.28;16;5.680545585068198;7.1291462053760455;12.894472361809045;65.64557912351545;16.0;79032.0
macrozheng/mall-swarm;mall-swarm;11239;4.33;3;3.845956354300385;4.733937067312311;1085.05648267009;8051.858274064184;4.0;101196.0
permissions-dispatcher/PermissionsDispatcher;PermissionsDispatcher;11204;8.61;40;1.6218487394957983;3.2693935824994096;34.378151260504204;325.8157181777887;4.0;3184.0
code4craft/webmagic;webmagic;11193;10.92;26;4.560126582278481;3.7945070204547946;13.037974683544304;83.73321755719394;9.0;8784.0
careercup/CtCI-6th-Edition;CtCI-6th-Edition;11122;8.73;0;2.12807881773399;1.5652265254235793;4.482758620689655;16.684361819854686;5.0;21093.0
gyf-dev/ImmersionBar;ImmersionBar;11120;6.93;0;6.352112676056338;7.08817422517668;159.25352112676057;1746.3381706157527;4.0;7237.0
apache/doris;doris;11107;6.62;39;;;;;;
grpc/grpc-java;grpc-java;11105;9.29;158;5.595577889447236;7.837396536161658;12.67035175879397;111.93660928340744;22.0;232614.0
jfeinstein10/SlidingMenu;SlidingMenu;11102;11.73;0;5.121621621621622;5.536006714529552;47.445945945945944;227.4389221183908;7.0;3085.0
androidannotations/androidannotations;androidannotations;11086;12.22;0;5.95742471443406;6.415296363234726;26.09865005192108;213.06644040105567;10.0;28800.0
alibaba/COLA;COLA;11079;6.12;10;4.053012048192771;4.254787164962773;4.103614457831325;14.693867631493049;5.0;6549.0
H07000223/FlycoTabLayout;FlycoTabLayout;10979;8.37;4;6.454545454545454;8.732006292044087;223.0909090909091;709.4495674149321;3.0;2730.0
mission-peace/interview;interview;10978;9.68;0;2.0134932533733134;1.221299330652373;3.4092953523238383;13.547587423254665;4.0;27259.0
lingochamp/FileDownloader;FileDownloader;10945;8.25;65;4.5278810408921935;5.439440468502624;42.014869888475836;232.015493814453;28.0;14387.0
